start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2017-08-01T00,740,75,972,2017-08-01T18,74,92
2017-08-06T00,82,205,984,2017-08-06T18,86,238
2017-08-09T00,77,183,976,2017-08-01T12,82,230
2017-08-12T06,70,7,980,2017-08-14T00,73,7
2017-08-15T00,77,55,984,2017-08-15T18,79,56
2017-08-28T12,64,353,972,2017-08-30T18,71,10
2017-09-08T12,67,245,976,2017-09-10T12,73,297
2017-09-19T06,86,105,976,2017-09-21T18,84,124
2017-10-04T00,70,285,980,2017-10-05T00,68,285
2017-10-10T06,62,340,968,2017-10-15T06,70,356
2017-10-23T00,60,270,972,2017-10-25T00,70,285
2017-10-24T06,78,90,984,2017-10-25T06,76,90
2017-10-27T00,77,15,976,2017-10-29T18,76,35
