start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2018-08-05T12,67,285,984,2018-08-05T18,98,285
2018-08-11T12,65,90,984,2018-08-13T12,74,85
2018-08-19T18,72,35,984,2018-08-20T12,78,50
2018-08-28T06,84,200,984,2018-08-31T06,84,230
2018-08-30T18,81,2,980,2018-09-01T12,86,120
2018-09-03T18,78,40,980,2018-09-06T00,78,120
2018-09-18T00,71,50,984,2018-09-18T12,71,50
2018-09-18T18,58,350,972,2018-09-22T06,73,50
2018-09-21T06,72,20,968,2018-09-26T18,85,30
2018-09-26T00,68,2,984,2018-09-27T12,66,40
2018-09-29T06,350,68,984,2018-09-30T00,69,5
2018-09-29T12,70,63,976,2018-10-02T06,74,56
2018-10-04T12,58,270,960,2018-10-07T12,74,295
2018-10-07T12,72,70,968,2018-10-09T12,86,270
2018-10-07T06,66,345,976,2018-10-10T18,78,50
2018-10-12T06,55,340,968,2018-10-15T18,78,355
2018-10-16T00,72,55,980,2018-10-17T06,68,80
2018-10-20T00,75,350,964,2018-10-23T12,72,2
2018-10-26T12,62,57,972,2018-10-29T06,77,130
