start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2007-08-11T06,74,90,980,2007-08-13T018,83,80
2007-08-24T12,85,35,980,2007-08-26T06,72,70
2007-09-20T06,71,35,976,2007-09-22T18,78,130
2007-09-23T12,71,58,980,2007-09-25T06,79,90
2007-10-01T06,68,285,976,2007-10-02T12,68,305
2007-10-01T12,80,358,964,2007-10-07T06,76,122
2007-10-10T12,72,55,980,2007-10-12T00,73,40
2007-10-20T06,79,1,980,2007-10-21T06,84,10
2007-10-21T18,68,340,968,2007-10-27T06,75,115
2007-10-21T06,56,300,968,2007-10-28T06,67,340
2007-10-28T18,70,10,980,2007-10-30T18,71,90
