start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2006-08-17T18,87,75,980,2006-08-19T06,88,57
2006-09-09T06,70,340,980,2006-09-10T06,75,355
2006-09-10T18,60,140,972,2006-09-15T00,75,140
2006-09-17T12,84,50,984,2006-09-18T18,84,30
2006-09-17T18,75,40,984,2006-09-18T06,72,55
2006-09-16T12,62,70,980,2006-09-19T06,85,120
2006-09-19T06,75,60,976,2006-09-23T00,82,80
2006-09-23T06,80,130,976,2006-09-25T18,84,55
2006-10-09T00,79,65,976,2006-10-11T06,78,110
2006-10-09T12,55,200,968,2006-10-12T12,80,185
