start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2016-08-04T12,83,115,984,2016-08-05T06,83,90
2016-08-11T00,78,90,984,2016-08-11T12,95,78
2016-08-14T06,79,95,968,2016-08-17T18,83,145
2016-08-19T06,78,238,976,2016-08-21T12,87,243
2016-08-25T18,65,145,972,2016-08-30T18,81,61
2016-09-02T18,85,10,984,2016-09-03T12,87,1
2016-09-04T12,63,272,980,2016-09-06T00,67,302
2016-09-08T12,62,345,972,2016-09-11T12,58,333
2016-09-09T18,58,350,972,2016-09-11T18,58,340
2016-09-11T18,58,343,972,2016-09-13T06,60,350
2016-09-13T12,71,265,980,2016-09-15T00,64,270
2016-09-15T06,87,205,976,2016-09-19T06,76,215
2016-09-18T00,71,353,980,2016-09-18T18,79,2
2016-09-19T18,87,90,980,2016-09-22T12,78,182
2016-09-22T06,58,210,980,2016-09-24T06,75,220
2016-09-27T12,66,170,980,2016-09-28T18,72,170
2016-09-29T00,60,355,968,2016-10-02T00,62,30
2016-09-18T12,51,320,964,2016-10-22T06,62,325
2016-10-23T06,57,165,952,2016-10-27T18,70,170
2016-10-24T18,57,320,972,2016-10-28T06,70,358
2016-10-29T18,63,175,964,2016-10-31T12,70,150
