start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2008-08-13T18,85,345,984,2008-08-14T12,84,350
2008-08-14T18,72,40,980,2008-08-15T18,74,50
2008-08-20T06,67,280,976,2008-08-21T18,72,360
2008-08-31T06,57,45,972,2008-09-04T00,77,45
2008-09-16T18,62,320,964,2008-09-19T12,76,350
2008-09-19T12,65,325,976,2008-09-21T12,79,2
2008-09-22T06,80,81,984,2008-09-22T18,80,61
2008-09-26T18,68,350,976,2008-09-30T06,69,40
2008-10-06T18,72,235,976,2008-10-08T18,77,240
2008-10-09T12,89,120,980,2008-10-15T12,81,185
2008-10-18T18,56,335,968,2008-10-26T06,84,110
2008-10-22T00,64,330,952,2008-10-28T06,68,10
2008-10-30T06,65,300,968,2008-10-31T12,76,320
