start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2015-09-04T06,76,55,984,2015-09-04T06,76,55
2015-09-12T12,66,260,980,2015-09-15T00,68,270
2015-09-26T06,68,245,980,2015-09-27T18,66,260
2015-09-27T18,79,150,980,2015-09-30T18,79,215
2015-09-29T06,71,355,964,2015-10-03T00,81,241
2015-10-14T06,76,340,984,2015-10-14T18,77,340
2015-10-15T06,72,295,980,2015-10-16T06,76,293
2015-10-15T18,78,25,980,2015-10-16T06,79,25
2015-10-20T06,85,90,984,2015-10-20T18,86,120
2015-10-22T18,61,330,972,2015-10-27T06,75,110
2015-10-28T00,73,64,980,2015-10-30T06,79,95
